encode_time;decode_time;peak_enc_mem;peak_dec_mem;peak_delta_enc;peak_delta_dec;param_name;layer_type;shape;numel;bits_quant;raw_bytes;qstep;mse_quant;nmse_quant;mse_post;nmse_post;compressed_bytes;compression_ratio;compression_gain_pct;bits_per_element;decoded_equal
4.6159999692463315e-05;1.6499999765073882e-05;780389580,8;780388761,6;19660,8;18841,6;features.4.0.block.3.1.weight;weight;(80,);80;8;80;0,079086016829695;0,0004818513116333;0,0004093075818036;0,0004818513116333;0,0004093075818036;80;1,0;;8,0;True
5.474000026878954e-05;4.524000032688491e-05;780389580,8;780389580,8;14745,6;19660,8;features.4.0.block.3.1.weight;weight;(80,);80;16;160;0,0002912543110377;5.718817419619881e-09;4.857837412264022e-09;5.718817419619881e-09;4.857837412264022e-09;162;0,9876543209876544;-1.2499999999999956;16,2;True
0,01207007999946648;0,00330225999969112;780388761,6;780389580,8;18841,6;19660,8;features.4.1.block.0.0.weight;weight;(480, 80, 1, 1);38400;8;38400;0,00390625;1.2690973107964965e-06;0,0001742145717585;1.7311441524725524e-06;0,0002376417746768;31650;1,2132701421800949;17,57812500000001;6,59375;True
0,01357212000002612;0,0036046600002009;780390400,0;780388761,6;20480,0;18841,6;features.4.1.block.0.0.weight;weight;(480, 80, 1, 1);38400;16;76800;0,00390625;1.2690973107964965e-06;0,0001742145717585;1.2690973107964965e-06;0,0001742145717585;31654;2,426233651355279;58,78385416666667;6,5945833333333335;True
0,00015349999994208;4.377999939606525e-05;780390400,0;780390400,0;20480,0;20480,0;features.4.1.block.0.1.bias;bias;(480,);480;8;480;0,0596202555225474;0,0002960942510981;0,0001751064235909;0,0002960942510981;0,0001751064235909;406;1,1822660098522169;15,41666666666668;6,766666666666667;True
0,00038705999977532;0,00011053999951399096;780389580,8;780388761,6;19660,8;18841,6;features.4.1.block.0.1.bias;bias;(480,);480;16;960;0,0002446193313925;4.2359586949203284e-09;2.5050928033743453e-09;4.2359586949203284e-09;2.5050928033743453e-09;896;1,0714285714285714;6,666666666666665;14,933333333333334;True
0,00018859999945558;7.206000045697617e-05;780390400,0;780388761,6;20480,0;18841,6;features.4.1.block.0.1.weight;weight;(480,);480;8;480;0,0235138842490747;4.312873716116883e-05;0,000103832984331;4.312873716116883e-05;0,000103832984331;428;1,1214953271028036;10,833333333333329;7,133333333333334;True
0,00041209999981214;0,00010682000065569846;780389580,8;780388761,6;19660,8;18841,6;features.4.1.block.0.1.weight;weight;(480,);480;16;960;9.347531264790436e-05;6.628326221225223e-10;1.5957779846357023e-09;6.628326221225223e-10;1.5957779846357023e-09;924;1,0389610389610389;3,7499999999999862;15,4;True
0,00138578000005506;0,00031450000024046;780389580,8;780389580,8;19660,8;19660,8;features.4.1.block.1.0.weight;weight;(480, 1, 3, 3);4320;8;4320;0,0051956332676766;2.2767837890569358e-06;0,000134970304196;2.2767837890569358e-06;0,000134970304196;3426;1,2609457092819614;20,69444444444444;6,344444444444444;True
0,00287986000002998;0,00072344000036534;780389580,8;780390400,0;19660,8;20480,0;features.4.1.block.1.0.weight;weight;(480, 1, 3, 3);4320;16;8640;2.066936884462944e-05;3.4322985426049606e-11;2.034705186385247e-09;3.4322985426049606e-11;2.034705186385247e-09;7794;1,1085450346420322;9,791666666666654;14,433333333333334;True
